priority,public_url,service_type,city,old_recovery_path,future_framework_path,future_yaml_filename,url_conflict,notes
1,/website-laten-maken-rotterdam/,website-laten-maken,Rotterdam,website-laten-maken-rotterdam/index.html,pages/website-laten-maken-rotterdam/index.html,rotterdam-website.yaml,"YES — ACTIVE CONFLICT",Framework version LIVE. Root recovery file still exists as fallback. Root file must be deprecated. Framework is source of truth. Highest priority URL.
2,/seo-bureau-rotterdam/,seo-bureau,Rotterdam,seo-bureau-rotterdam/index.html,pages/seo-bureau-rotterdam/index.html,rotterdam-seo.yaml,"YES — ACTIVE CONFLICT",Framework version exists in pages/. Root recovery still live at same URL. Root must be deprecated after QA. Highest priority city for SEO.
3,/webshop-laten-maken-spijkenisse/,webshop-laten-maken,Spijkenisse,"(none — no root recovery for this slug)",pages/webshop-laten-maken-spijkenisse/index.html,spijkenisse-webshop.yaml,NO,"Framework-only page. No conflict. YAML exists. Safest migration — can go framework-first immediately."
4,/webdesign-brielle/,webdesign,Brielle,webdesign/webdesign-brielle/index.html,pages/webdesign-brielle/index.html,brielle-webdesign.yaml,"YES — URL MISMATCH",Framework page in pages/webdesign-brielle/. Old recovery at /webdesign/webdesign-brielle/. New canonical: /webdesign-brielle/ (flat). YAML exists. Redirect rule needed.
5,/online-marketing-delft/,online-marketing,Delft,online-marketing/online-marketing-delft/index.html,pages/online-marketing-delft/index.html,delft-online-marketing.yaml,"YES — URL MISMATCH",Framework page in pages/. Old recovery nested at /online-marketing/online-marketing-delft/. YAML exists. New canonical: /online-marketing-delft/. Redirect rule needed.
6,/webdesign-rotterdam/,webdesign,Rotterdam,webdesign/webdesign-rotterdam/index.html,pages/webdesign-rotterdam/index.html,rotterdam-webdesign.yaml (TO CREATE),"YES — URL MISMATCH",Framework page exists in pages/ but old recovery at /webdesign/webdesign-rotterdam/. Canonical: /webdesign-rotterdam/ (flat). Redirect: /webdesign/webdesign-rotterdam/ -> /webdesign-rotterdam/ 301.
7,/website-laten-maken-brielle/,website-laten-maken,Brielle,website-laten-maken-brielle/index.html,pages/website-laten-maken-brielle/index.html (TO CREATE),brielle-website.yaml (TO CREATE),NO,Old recovery page at root. No framework page yet. High priority: Brielle is BDMNL home city. Create framework page + YAML then deprecate root.
8,/website-laten-maken-spijkenisse/,website-laten-maken,Spijkenisse,website-laten-maken-spijkenisse/index.html,pages/website-laten-maken-spijkenisse/index.html (TO CREATE),spijkenisse-website.yaml (TO CREATE),NO,Old recovery page exists. Adjacent priority city. Framework page needed.
9,/website-laten-maken-hellevoetsluis/,website-laten-maken,Hellevoetsluis,website-laten-maken-hellevoetsluis/index.html,pages/website-laten-maken-hellevoetsluis/index.html (TO CREATE),hellevoetsluis-website.yaml (TO CREATE),NO,Old recovery page exists. Priority coastal city. Framework page needed.
10,/website-laten-maken-delft/,website-laten-maken,Delft,website-laten-maken-delft/index.html,pages/website-laten-maken-delft/index.html (TO CREATE),delft-website.yaml (TO CREATE),NO,Old recovery page exists. Delft high commercial value (tech/students). Framework page needed.
11,/seo-bureau-brielle/,seo-bureau,Brielle,seo-bureau-brielle/index.html,pages/seo-bureau-brielle/index.html (TO CREATE),brielle-seo.yaml (TO CREATE),NO,"Old recovery exists. BDMNL home city — strong local SEO signal. High priority."
12,/seo-bureau-spijkenisse/,seo-bureau,Spijkenisse,seo-bureau-spijkenisse/index.html,pages/seo-bureau-spijkenisse/index.html (TO CREATE),spijkenisse-seo.yaml (TO CREATE),NO,Old recovery page exists. Voorne-Putten cluster. Framework page needed.
13,/seo-bureau-hellevoetsluis/,seo-bureau,Hellevoetsluis,seo-bureau-hellevoetsluis/index.html,pages/seo-bureau-hellevoetsluis/index.html (TO CREATE),hellevoetsluis-seo.yaml (TO CREATE),NO,Old recovery exists. Complete Hellevoetsluis service cluster with row 9.
14,/seo-bureau-delft/,seo-bureau,Delft,seo-bureau-delft/index.html,pages/seo-bureau-delft/index.html (TO CREATE),delft-seo.yaml (TO CREATE),NO,Old recovery page exists. High commercial value. Framework page needed.
15,/website-laten-maken-leiden/,website-laten-maken,Leiden,website-laten-maken-leiden/index.html,pages/website-laten-maken-leiden/index.html (TO CREATE),leiden-website.yaml (TO CREATE),NO,Old recovery page exists. Leiden strong SME base. High value target.
16,/seo-bureau-leiden/,seo-bureau,Leiden,seo-bureau-leiden/index.html,pages/seo-bureau-leiden/index.html (TO CREATE),leiden-seo.yaml (TO CREATE),NO,"Old recovery exists. University city — strong commercial search intent."
17,/website-laten-maken-dordrecht/,website-laten-maken,Dordrecht,website-laten-maken-dordrecht/index.html,pages/website-laten-maken-dordrecht/index.html (TO CREATE),dordrecht-website.yaml (TO CREATE),NO,"Old recovery exists. South Holland city — strong regional volume."
18,/seo-bureau-dordrecht/,seo-bureau,Dordrecht,seo-bureau-dordrecht/index.html,pages/seo-bureau-dordrecht/index.html (TO CREATE),dordrecht-seo.yaml (TO CREATE),NO,Old recovery exists. Complete Dordrecht cluster with row 17.
19,/webshop-laten-maken-rotterdam/,webshop-laten-maken,Rotterdam,webshop-laten-maken-rotterdam/index.html,pages/webshop-laten-maken-rotterdam/index.html (TO CREATE),rotterdam-webshop.yaml (TO CREATE),NO,Old recovery page exists. Rotterdam is #1 e-commerce city in service area. High commercial value.
20,/website-laten-maken-breda/,website-laten-maken,Breda,website-laten-maken-breda/index.html,pages/website-laten-maken-breda/index.html (TO CREATE),breda-website.yaml (TO CREATE),NO,Old recovery exists. Breda largest city outside Randstad in service area. Strong commercial pull.
